traj_ind,is_fail_linear_any,is_fail_log_any,is_fail_linear_all,is_fail_log_all,is_fail_linear_half,is_fail_log_half,num_time_fails_linear,num_time_fails_log
1,true,true,false,false,true,false,5,1
2,true,false,false,false,false,false,3,0
3,true,true,false,false,true,false,6,2
4,true,true,false,false,true,false,4,1
5,true,true,false,false,true,false,4,1
6,true,true,false,false,false,false,3,3
7,true,true,false,false,true,false,4,2
8,true,true,false,false,true,false,4,2
9,true,true,false,false,false,false,1,2
10,true,true,false,false,false,false,3,2
11,true,true,false,false,true,false,5,2
12,true,true,false,false,true,false,5,2
13,true,true,false,false,true,true,4,4
14,true,true,false,false,true,false,4,3
15,true,true,false,false,true,false,4,3
16,true,true,false,false,true,false,4,3
17,true,true,false,false,false,false,3,2
18,true,true,false,false,true,false,4,2
19,true,true,false,false,false,false,3,1
20,true,true,false,false,false,false,3,1
21,true,true,false,false,true,false,4,1
22,true,true,false,false,true,false,4,1
23,true,true,false,false,true,false,5,1
24,true,true,false,false,true,false,4,2
25,true,true,false,false,false,false,2,2
26,true,true,false,false,true,false,5,2
27,true,true,false,false,true,false,6,2
28,true,false,false,false,false,false,3,0
29,true,true,false,false,true,false,4,1
30,true,true,false,false,true,false,5,2
31,true,true,false,false,true,false,4,2
32,true,true,false,false,true,false,4,2
33,true,true,false,false,true,false,5,1
34,true,true,false,false,true,false,5,2
35,true,true,false,false,true,false,6,2
36,true,true,false,false,true,false,5,2
37,true,true,false,false,false,false,3,2
38,true,true,false,false,false,false,3,2
39,true,true,false,false,true,false,4,2
40,true,true,false,false,false,true,2,4
41,true,true,false,false,true,false,5,1
42,true,true,false,false,true,false,5,2
43,true,false,false,false,true,false,5,0
44,true,true,false,false,true,false,4,3
45,true,true,false,false,true,false,6,2
46,true,true,false,false,true,false,5,1
47,true,true,false,false,true,false,5,2
48,true,true,false,false,true,false,4,2
49,true,false,false,false,true,false,4,0
50,true,false,false,false,false,false,3,0
51,true,true,false,false,true,false,4,1
52,true,false,false,false,true,false,4,0
53,true,true,false,false,true,true,4,5
54,true,true,false,false,false,false,3,2
55,true,true,false,false,false,false,2,3
56,true,false,false,false,true,false,4,0
57,true,true,false,false,true,false,5,2
58,true,true,false,false,false,false,3,3
59,true,true,false,false,true,false,4,1
60,true,true,false,false,true,false,5,1
61,true,true,false,false,true,false,4,3
62,true,true,false,false,true,false,4,3
63,true,true,false,false,true,false,4,2
64,true,true,false,false,true,false,4,3
65,true,true,false,false,false,false,3,2
66,true,true,false,false,false,false,2,3
67,true,true,false,false,false,false,2,2
68,true,true,false,false,true,false,4,3
69,true,true,false,false,false,false,2,2
70,true,true,false,false,true,true,5,5
71,true,true,false,false,true,false,5,2
72,true,true,false,false,true,false,5,1
73,true,false,false,false,true,false,4,0
74,true,true,false,false,true,false,4,3
75,true,true,false,false,false,false,3,3
76,true,true,false,false,true,false,5,1
77,true,false,false,false,true,false,5,0
78,true,true,false,false,true,false,6,2
79,true,true,false,false,true,true,4,4
80,true,true,false,false,true,false,4,2
81,true,true,false,false,true,false,6,3
82,true,false,false,false,true,false,5,0
83,true,true,false,false,true,false,5,2
84,true,false,false,false,true,false,4,0
85,true,true,false,false,false,true,3,4
86,true,false,false,false,true,false,6,0
87,true,true,false,false,true,false,4,2
88,true,false,false,false,true,false,4,0
89,true,true,false,false,true,false,5,2
90,true,true,false,false,false,false,3,2
91,true,true,false,false,true,true,4,4
92,true,true,false,false,false,false,2,2
93,true,true,false,false,true,false,4,1
94,true,true,false,false,false,false,3,3
95,true,true,false,false,true,false,4,2
96,true,true,false,false,true,false,4,3
97,true,true,false,false,true,false,5,2
98,true,true,false,false,true,false,5,2
99,true,false,false,false,true,false,4,0
100,true,true,false,false,true,false,5,1
