log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-25.714585265778382,-21.871362333276295,-25.714585265778382,-21.871362333276295,NaN,NaN,NaN,NaN,-25.714585265778382,-21.871362333276295,NaN,NaN
-26.271937573491414,-20.55892089136901,-26.271937573491414,-20.55892089136901,NaN,NaN,NaN,NaN,-26.271937573491414,-20.55892089136901,NaN,NaN
-26.883242128654103,-23.27184108643602,-26.883242128654103,-23.27184108643602,NaN,NaN,NaN,NaN,-27.104592466963858,-20.6741345115168,NaN,NaN
-27.104592466963858,-20.6741345115168,-27.104592466963858,-20.6741345115168,NaN,NaN,NaN,NaN,-27.36898600215522,-20.52840942117722,NaN,NaN
-27.36898600215522,-20.52840942117722,-27.461749791725524,-20.55632139822574,NaN,NaN,NaN,NaN,-27.461749791725524,-20.55632139822574,NaN,NaN
-27.461749791725524,-20.55632139822574,-27.83174795270864,-25.505998401368448,NaN,NaN,NaN,NaN,-27.83174795270864,-25.505998401368448,NaN,NaN
-27.83174795270864,-25.505998401368448,-27.97042010397356,-24.748041516406527,NaN,NaN,NaN,NaN,-28.118305940786975,-18.770856707796188,NaN,NaN
-27.97042010397356,-24.748041516406527,-28.236485746204174,-25.756859139915797,NaN,NaN,NaN,NaN,-28.236485746204174,-25.756859139915797,NaN,NaN
-28.118305940786975,-18.770856707796188,-28.371100696990943,-20.510850232758862,NaN,NaN,NaN,NaN,-28.371100696990943,-20.510850232758862,NaN,NaN
-28.236485746204174,-25.756859139915797,-28.500992850292967,-19.110520189487524,NaN,NaN,NaN,NaN,-28.500992850292967,-19.110520189487524,NaN,NaN
