traj_ind,is_fail_linear_any,is_fail_log_any,is_fail_linear_all,is_fail_log_all,is_fail_linear_half,is_fail_log_half,num_time_fails_linear,num_time_fails_log
1,true,true,false,false,true,false,4,3
2,true,true,false,false,false,false,1,2
3,true,true,false,false,false,false,2,1
4,true,true,false,false,false,false,2,2
5,true,true,false,false,false,false,2,1
6,true,true,false,false,false,false,3,2
7,true,true,false,false,false,false,1,3
8,false,false,false,false,false,false,0,0
9,true,true,false,false,false,false,2,3
10,true,true,false,false,false,false,2,3
11,true,true,false,false,false,false,2,1
12,true,true,false,false,false,false,2,1
13,true,true,false,false,true,true,4,4
14,true,true,false,false,false,false,2,1
15,true,true,false,false,false,false,2,2
16,true,false,false,false,false,false,2,0
17,true,true,false,false,false,false,3,2
18,true,true,false,false,false,true,3,4
19,true,true,false,false,false,false,3,3
20,true,true,false,false,false,false,2,2
21,true,true,false,false,false,false,2,1
22,true,false,false,false,false,false,1,0
23,true,true,false,false,false,false,3,3
24,true,true,false,false,true,false,4,1
25,true,true,false,false,false,false,3,2
26,true,true,false,false,false,false,3,1
27,true,true,false,false,true,false,4,3
28,true,true,false,false,false,false,1,1
29,true,true,false,false,false,false,1,1
30,true,false,false,false,false,false,2,0
31,true,true,false,false,false,false,2,2
32,true,true,false,false,false,false,2,1
33,true,true,false,false,false,false,2,1
34,true,true,false,false,false,false,2,3
35,true,true,false,false,false,false,3,3
36,true,true,false,false,false,false,1,1
37,true,true,false,false,false,false,1,1
38,true,true,false,false,false,false,2,3
39,true,true,false,false,false,false,2,2
40,true,true,false,false,false,false,1,2
41,true,true,false,false,false,false,1,2
42,true,true,false,false,true,false,5,2
43,true,true,false,false,false,false,2,2
44,true,true,false,false,true,false,5,2
45,true,false,false,false,false,false,1,0
46,true,true,false,false,false,false,3,1
47,true,true,false,false,false,false,1,1
48,true,true,false,false,false,false,3,2
49,true,false,false,false,true,false,5,0
50,true,true,false,false,false,false,2,2
51,true,true,false,false,false,false,2,3
52,true,true,false,false,false,false,2,1
53,true,true,false,false,true,false,4,1
54,true,true,false,false,true,false,5,3
55,true,true,false,false,false,false,1,1
56,true,true,false,false,true,false,4,1
57,true,false,false,false,false,false,1,0
58,true,true,false,false,false,false,2,2
59,true,true,false,false,false,false,2,3
60,false,true,false,false,false,false,0,2
61,true,true,false,false,false,true,1,4
62,true,true,false,false,false,true,3,4
63,true,true,false,false,false,false,1,2
64,true,true,false,false,false,false,3,3
65,true,true,false,false,true,false,4,3
66,true,true,false,false,false,false,1,1
67,true,true,false,false,false,false,2,1
68,true,false,false,false,false,false,2,0
69,true,true,false,false,false,false,3,2
70,false,false,false,false,false,false,0,0
71,true,true,false,false,false,false,2,3
72,false,true,false,false,false,false,0,2
73,true,true,false,false,false,false,2,3
74,true,true,false,false,false,false,1,1
75,true,true,false,false,false,true,3,5
76,true,true,false,false,false,false,2,1
77,true,true,false,false,true,false,4,3
78,true,true,false,false,false,false,2,3
79,true,true,false,false,false,false,3,3
80,true,true,false,false,false,false,1,3
81,false,true,false,false,false,false,0,3
82,true,true,false,false,true,false,5,3
83,true,true,false,false,false,false,2,1
84,true,true,false,false,true,false,4,1
85,true,true,false,false,false,false,3,3
86,true,true,false,false,false,false,3,2
87,true,true,false,false,false,false,1,1
88,true,true,false,false,false,true,3,4
89,true,true,false,false,false,false,3,2
90,true,true,false,false,false,false,2,2
91,true,false,false,false,false,false,1,0
92,true,true,false,false,false,false,1,2
93,true,true,false,false,false,false,3,2
94,true,true,false,false,false,false,1,2
95,true,true,false,false,false,false,2,2
96,true,true,false,false,false,false,3,2
97,true,true,false,false,true,false,5,2
98,true,true,false,false,false,true,3,5
99,true,true,false,false,false,false,3,3
100,true,true,false,false,false,false,1,1
