log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-32.219095422386374,-26.460087031142344,-32.219095422386374,-26.460087031142344,NaN,NaN,NaN,NaN,-34.737601325272344,-29.314831380912096,-32.73079502312017,-22.304605247628743
-32.652254065994825,-30.317072578149073,-32.652254065994825,-30.317072578149073,NaN,NaN,NaN,NaN,-35.20052325246469,-23.690419132677118,-33.93805282916266,-24.61968141660225
-32.73079502312017,-22.304605247628743,-32.73079502312017,-22.304605247628743,NaN,NaN,NaN,NaN,-35.27061512307737,-29.025694835150496,-34.11523140995424,-22.455930147082846
-33.27660473640958,-27.690413769150588,-33.27660473640958,-27.690413769150588,NaN,NaN,NaN,NaN,-35.326014434260124,-28.316280745945406,-34.18389538075536,-23.077669567696834
-33.30642003498639,-24.336742895908667,-33.30642003498639,-24.336742895908667,NaN,NaN,NaN,NaN,-35.36244083351743,-28.953063314597184,-34.28593271050507,-24.35229955582307
-33.48677793125827,-23.564691821936137,-33.443062974880355,-26.42306657288924,NaN,NaN,NaN,NaN,-35.42737435864099,-24.18910304573351,-34.329991253387774,-25.415885586029145
-33.82316693041238,-20.65288010450208,-33.48677793125827,-23.564691821936137,NaN,NaN,NaN,NaN,-36.317343027287976,-23.83274995609504,-34.42888268765461,-27.465937911799347
-33.93805282916266,-24.61968141660225,-33.66810369242053,-25.824185127896875,NaN,NaN,NaN,NaN,-36.42016349756388,-32.325120872550066,-34.76810867176483,-28.793060444880823
-34.11523140995424,-22.455930147082846,-33.82316693041238,-20.65288010450208,NaN,NaN,NaN,NaN,-36.602130318969046,-35.999081932242426,-34.96001022895836,-23.8473696164664
-34.18389538075536,-23.077669567696834,-33.93805282916266,-24.61968141660225,NaN,NaN,NaN,NaN,-36.97180950378672,-25.69382829745299,-35.20052325246469,-23.690419132677118
