log_likelihood_fail_linear_any_nominal,log_likelihood_fail_linear_any_sampled,log_likelihood_fail_log_any_nominal,log_likelihood_fail_log_any_sampled,log_likelihood_fail_linear_all_nominal,log_likelihood_fail_linear_all_sampled,log_likelihood_fail_log_all_nominal,log_likelihood_fail_log_all_sampled,log_likelihood_fail_linear_half_nominal,log_likelihood_fail_linear_half_sampled,log_likelihood_fail_log_half_nominal,log_likelihood_fail_log_half_sampled
-31.941488633249534,-25.33249027109701,-31.316295222156974,-31.22336093059769,NaN,NaN,NaN,NaN,NaN,NaN,-32.01256825659219,-22.841415310324336
-32.01256825659219,-22.841415310324336,-31.802893017236777,-25.12617218061222,NaN,NaN,NaN,NaN,NaN,NaN,-32.46773494456234,-27.148708820167503
-32.10322667164592,-24.863249431170992,-31.941488633249534,-25.33249027109701,NaN,NaN,NaN,NaN,NaN,NaN,-33.28794779117395,-26.076220169411606
-32.107636712103165,-26.163103432222044,-32.01256825659219,-22.841415310324336,NaN,NaN,NaN,NaN,NaN,NaN,-34.02195715943651,-25.00512229402441
-32.46773494456234,-27.148708820167503,-32.10322667164592,-24.863249431170992,NaN,NaN,NaN,NaN,NaN,NaN,-34.34152863240405,-24.523289225617923
-32.76695896016524,-26.691570356597296,-32.107636712103165,-26.163103432222044,NaN,NaN,NaN,NaN,NaN,NaN,-34.72420383447989,-30.006299396082024
-32.84590742197622,-28.37991727353893,-32.46773494456234,-27.148708820167503,NaN,NaN,NaN,NaN,NaN,NaN,-34.85178423126885,-25.55494420864847
-32.91614987976702,-24.8347632185955,-32.76695896016524,-26.691570356597296,NaN,NaN,NaN,NaN,NaN,NaN,-34.86535564057315,-25.565523807335182
-33.11105108692159,-25.369799061072108,-32.84590742197622,-28.37991727353893,NaN,NaN,NaN,NaN,NaN,NaN,-34.89304013188295,-29.64287257075354
-33.113072741747544,-24.399103599983565,-32.91614987976702,-24.8347632185955,NaN,NaN,NaN,NaN,NaN,NaN,-35.00940952206516,-25.72141302597739
